Case 1 - Low Confidence ( 2393 )
==================================================
HYPONYM(europe, cities)
HYPONYM(unions, creditors)
HYPONYM(agnostics, infidels)
HYPONYM(volunteers, visitors)
HYPONYM(brokers, intermediaries)
HYPONYM(moore, artists)
HYPONYM(shipmates, veterans)
HYPONYM(memoranda, communications)
HYPONYM(tapes, circumstantial_evidence)
HYPONYM(crappies, panfish)
HYPONYM(web_sites, publishers)
HYPONYM(chemotherapy, procedures)
HYPONYM(merce_cunningham, friends)
HYPONYM(chiropractics, treatments)
HYPONYM(fraud, corruption)
HYPONYM(displays, attractions)
HYPONYM(clay, materials)
HYPONYM(caramel, essences)
HYPONYM(yves_tanguy, surrealists)
HYPONYM(technicians, workers)
HYPONYM(condoms, things)
HYPONYM(war, military_operations)
HYPONYM(coaches, employees)
HYPONYM(auditors, advisers)
HYPONYM(friends, supporters)
HYPONYM(members, lawyers)
HYPONYM(al_gore, democrats)
HYPONYM(inventors, members)
HYPONYM(pencils, essentials)
HYPONYM(poets, writers)
HYPONYM(painters, artists)
HYPONYM(fruit_flies, insects)
HYPONYM(debts, liabilities)
HYPONYM(water, countries)
HYPONYM(ribbon, items)
HYPONYM(munich, airports)
HYPONYM(chancellor, grapes)
HYPONYM(debts, uncertainties)
HYPONYM(summer_camp, children)
HYPONYM(pop, genres)
HYPONYM(civil_engineers, contractors)
HYPONYM(endorphins, hormones)
HYPONYM(sinks, appliances)
HYPONYM(latinos, students)
HYPONYM(jaundice, symptoms)
HYPONYM(denmark, nations)
HYPONYM(car, officials)
HYPONYM(bradley, armored_vehicles)
HYPONYM(mats, goods)
HYPONYM(hotel, web_sites)
HYPONYM(candidates, opponents)
HYPONYM(bed, paris)
HYPONYM(cookware, end_products)
HYPONYM(air, acts)
HYPONYM(wholesalers, opponents)
HYPONYM(laptop_computers, vendors)
HYPONYM(will, feasibility)
HYPONYM(americans, visitors)
HYPONYM(chicago, headliners)
HYPONYM(chicken, root_vegetables)
HYPONYM(beijing, capitals)
HYPONYM(bacteria, contaminants)
HYPONYM(argentina, countries)
HYPONYM(jewelry, creations)
HYPONYM(prosecutors, critics)
HYPONYM(farmland, properties)
HYPONYM(yemenis, arabs)
HYPONYM(martin_luther_king_jr., leaders)
HYPONYM(gangs, inmates)
HYPONYM(jews, immigrants)
HYPONYM(grants, distractions)
HYPONYM(picture_frames, tokyo)
HYPONYM(catalogs, promotional_materials)
HYPONYM(nature, journals)
HYPONYM(radishes, vegetables)
HYPONYM(schools, sources)
HYPONYM(police, security_forces)
HYPONYM(spain, nations)
HYPONYM(facilities, materials)
HYPONYM(aphids, insects)
